Name,Time,RCV_MPS,SND_MPS,MPS_Rate,Diam_Name,AVRGLOAD,PEAKLOAD,Link_Name,AVRGRECV,PEAKRECV
HFDRA01,2020/12/1,116460,116460,31,diamaccce-1,12.84,13.37,NJDRA01AHW-A-lk-15(822),357,391
HFDRA02,2020/12/1,116348,116348,31,diamaccce-1,11.99,12.6,NJDRA01AHW-A-lk-08(1321),357,398
HFDRA01,2020-12-02,114411,114411,30                                  ,diamaccce-1,12.84,13.33                           ,NJDRA01AHW-A-lk-13(820),355,390                   
HFDRA02,2020-12-02,114439,114439,30                                  ,diamaccce-1,11.98,12.37                           ,NJDRA01AHW-A-lk-09(830),355,391                   
HFDRA01,2020-12-03,116410,116410,31                                  ,diamaccce-1,13.02,13.43                           ,NJDRA01AHW-A-lk-12(819),361,406                   
HFDRA02,2020-12-03,116342,116341,31                                  ,diamaccce-1,12.14,12.63                           ,NJDRA01AHW-A-lk-16(865),361,395                   
HFDRA01,2020-12-04,121972,121972,32                                  ,diamaccce-1,13.51,13.99                           ,NJDRA01AHW-A-lk-11(818),363,412                   
HFDRA02,2020-12-04,121828,121828,32                                  ,diamaccce-1,12.66,13.06                           ,NJDRA01AHW-A-lk-12(833),364,405                   
HFDRA01,2020-12-05,115825,115825,30                                  ,diamaccce-1,13.02,13.67                           ,NJDRA01AHW-A-lk-13(820),359,400                   
HFDRA02,2020-12-05,115847,115847,30                                  ,diamaccce-1,12.17,12.78                           ,NJDRA01AHW-A-lk-08(1321),358,399                  
HFDRA01,2020-12-06,111411,111411,29                                  ,diamaccce-1,12.68,13.21                           ,NJDRA01AHW-A-lk-16(823),358,399                   
HFDRA02,2020-12-06,111324,111324,29                                  ,diamaccce-1,11.82,12.31                           ,NJDRA01AHW-A-lk-01(13),359,399                    
HFDRA01,2020-12-07,114206,114206,30                                  ,diamaccce-1,12.78,13.38                           ,NJDRA01AHW-A-lk-11(818),353,390                   
HFDRA02,2020-12-07,114092,114092,30                                  ,diamaccce-1,11.93,12.38                           ,NJDRA01AHW-A-lk-06(1319),353,392                  
HFDRA01,2020-12-08,114411,114411,30                                  ,diamaccce-1,12.69,13.14                           ,NJDRA01AHW-A-lk-06(1320),356,395                  
HFDRA02,2020-12-08,114542,114542,30                                  ,diamaccce-1,11.87,12.34                           ,NJDRA01AHW-A-lk-11(832),356,394                   
HFDRA01,2020-12-09,115853,115853,30                                  ,diamaccce-1,12.81,13.42                           ,NJDRA01AHW-A-lk-08(1322),359,401                  
HFDRA02,2020-12-09,115834,115834,30                                  ,diamaccce-1,11.96,12.37                           ,NJDRA01AHW-A-lk-08(1321),359,400                  
HFDRA01,2020-12-10,116081,116081,30                                  ,diamaccce-1,12.94,13.52                           ,NJDRA01AHW-A-lk-12(819),361,400                   
HFDRA02,2020-12-10,115980,115980,30                                  ,diamaccce-1,12.11,12.49                           ,NJDRA01AHW-A-lk-11(832),361,395                   
HFDRA01,2020-12-11,122207,122207,32                                  ,diamaccce-1,13.43,13.85                           ,NJDRA01AHW-A-lk-04(17),376,417                    
HFDRA02,2020-12-11,122096,122096,32                                  ,diamaccce-1,12.61,13.04                           ,NJDRA01AHW-A-lk-14(863),376,414                   
HFDRA01,2020-12-12,120118,120118,32                                  ,diamaccce-1,13.44,14.47                           ,NJDRA01AHW-A-lk-01(14),380,429                    
HFDRA02,2020-12-12,120194,120194,32                                  ,diamaccce-1,12.60,13.66                           ,NJDRA01AHW-A-lk-10(831),381,432                   
HFDRA01,2020-12-13,111267,111267,29                                  ,diamaccce-1,12.65,13.07                           ,NJDRA01AHW-A-lk-03(16),368,408                    
HFDRA02,2020-12-13,111299,111299,29                                  ,diamaccce-1,11.77,12.18                           ,NJDRA01AHW-A-lk-02(14),368,408                    
HFDRA01,2020-12-14,114869,114869,30                                  ,diamaccce-1,12.85,13.31                           ,NJDRA01AHW-A-lk-04(17),365,403                    
HFDRA02,2020-12-14,114849,114849,30                                  ,diamaccce-1,12.02,12.51                           ,NJDRA01AHW-A-lk-04(16),364,402                    
HFDRA01,2020-12-15,115766,115766,30                                  ,diamaccce-1,12.97,13.51                           ,NJDRA01AHW-A-lk-13(820),367,407                   
HFDRA02,2020-12-15,115799,115799,30                                  ,diamaccce-1,12.11,12.53                           ,NJDRA01AHW-A-lk-09(830),367,404                   
HFDRA01,2020-12-16,116649,116649,31                                  ,diamaccce-1,13.09,13.59                           ,NJDRA01AHW-A-lk-05(1319),369,415                  
HFDRA02,2020-12-16,116816,116816,31                                  ,diamaccce-1,12.21,12.50                           ,NJDRA01AHW-A-lk-08(1321),369,407                  
HFDRA01,2020-12-17,115171,115171,30                                  ,diamaccce-1,12.88,13.36                           ,NJDRA01AHW-A-lk-04(17),368,415                    
HFDRA02,2020-12-17,115200,115200,30                                  ,diamaccce-1,12.02,12.55                           ,NJDRA01AHW-A-lk-03(15),368,408                    
HFDRA01,2020-12-18,120244,120243,32                                  ,diamaccce-1,13.33,13.88                           ,NJDRA01AHW-A-lk-10(817),379,419                   
HFDRA02,2020-12-18,119957,119957,31                                  ,diamaccce-1,12.47,12.95                           ,NJDRA01AHW-A-lk-11(832),379,420                   
HFDRA01,2020-12-19,115423,115423,30                                  ,diamaccce-1,13.00,13.50                           ,NJDRA01AHW-A-lk-10(817),381,423                   
HFDRA02,2020-12-19,115386,115386,30                                  ,diamaccce-1,12.12,12.48                           ,NJDRA01AHW-A-lk-03(15),381,430                    
HFDRA01,2020-12-20,111812,111811,29                                  ,diamaccce-1,12.78,13.44                           ,NJDRA01AHW-A-lk-08(1322),377,418                  
HFDRA02,2020-12-20,111604,111604,29                                  ,diamaccce-1,11.92,12.55                           ,NJDRA01AHW-A-lk-01(13),376,415                    
HFDRA01,2020-12-21,115815,115815,30                                  ,diamaccce-1,12.91,13.31                           ,NJDRA01AHW-A-lk-04(17),375,412                    
HFDRA02,2020-12-21,115675,115675,30                                  ,diamaccce-1,12.07,12.45                           ,NJDRA01AHW-A-lk-15(864),375,412                   
HFDRA01,2020-12-22,115708,115707,30                                  ,diamaccce-1,12.83,13.30                           ,NJDRA01AHW-A-lk-02(15),372,412                    
HFDRA02,2020-12-22,115764,115764,30                                  ,diamaccce-1,11.99,12.45                           ,NJDRA01AHW-A-lk-10(831),372,410                   
HFDRA01,2020-12-23,115741,115740,30                                  ,diamaccce-1,12.71,13.12                           ,NJDRA01AHW-A-lk-07(1321),374,424                  
HFDRA02,2020-12-23,115738,115737,30                                  ,diamaccce-3,11.84,12.40                           ,NJDRA01AHW-A-lk-04(16),374,414                    
HFDRA01,2020-12-24,116899,116899,31                                  ,diamaccce-1,12.90,13.35                           ,NJDRA01AHW-A-lk-03(16),380,419                    
HFDRA02,2020-12-24,116749,116749,31                                  ,diamaccce-1,12.08,12.42                           ,NJDRA01AHW-A-lk-14(863),379,420                   
